customer_id,name,country,onboarded_at,risk_rating,is_pep
C0000,Grevnek Orzekski,MY,2025-07-03,low,false
C0001,Umitas Farelar,MY,2024-07-25,medium,false
C0002,Hendan Farelov,VN,2024-05-31,medium,false
C0003,Brantas Lundraov,VN,2024-07-02,low,false
C0004,Dorriel Jorelyan,GB,2025-10-11,low,true
C0005,Mortas Cernaski,KR,2024-02-26,low,false
C0006,Ralriel Hanreski,KR,2025-05-02,low,false
C0007,Sevriel Aldreyan,JP,2025-06-19,medium,false
C0008,Karen Pravinul,KR,2024-07-23,low,false
C0009,Nisriel Boskoyan,JP,2026-02-24,low,false
C0010,Talren Jorelski,US,2025-06-15,low,false
C0011,Morren Jorelul,US,2024-09-03,medium,false
C0012,Talmir Enkoar,FR,2024-02-06,low,false
C0013,Henvic Hanreul,SG,2024-05-06,low,false
C0014,Taltas Orzekes,MY,2025-04-19,low,false
C0015,Dormir Davrees,VN,2025-12-27,low,false
C0016,Zardan Lundraul,AU,2024-02-09,medium,false
C0017,Nislo Krevoes,FR,2025-07-22,low,false
C0018,Ostnek Farelyan,SG,2024-01-19,low,false
C0019,Taltas Lundraski,US,2024-02-12,low,false
C0020,Umitas Enkoov,JP,2024-11-08,low,false
C0021,Talren Krevoar,MY,2025-02-16,low,false
C0022,Grevren Boskoes,JP,2025-11-20,low,false
C0023,Umilo Farelski,AU,2024-05-04,medium,false
C0024,Ostvic Davreenko,KR,2024-08-18,medium,false
C0025,Brannek Enkoul,JP,2024-10-19,low,false
C0026,Ilytas Lundraul,MY,2025-07-16,low,false
C0027,Dorriel Fareles,JP,2025-07-13,low,false
C0028,Grevtas Enkoar,SG,2024-11-13,low,false
C0029,Dorriel Boskoski,JP,2025-04-25,low,false
C0030,Zarlo Davreov,VN,2024-08-07,low,false
C0031,Zardan Farelenko,GB,2024-05-05,low,false
C0032,Sevmir Lundrayan,SG,2025-01-10,high,false
C0033,Dornek Hanreski,SG,2024-07-14,low,false
C0034,Brannek Davreitz,KR,2025-03-27,low,true
C0035,Grevnek Hanreski,DE,2025-11-19,low,true
C0036,Zartas Krevoenko,GB,2025-01-18,low,false
C0037,Nistas Nevicski,SG,2025-09-04,low,false
C0038,Mordan Davreitz,VN,2025-11-02,medium,false
C0039,Grevvic Cernaov,GB,2025-02-22,medium,false
C0040,Ostmir Orzekski,SG,2024-09-06,low,false
C0041,Morriel Farelyan,SG,2025-10-28,low,false
C0042,Ilyren Davreenko,DE,2024-02-20,low,false
C0043,Uminek Maroses,FR,2024-04-20,low,false
C0044,Ostdan Pravinitz,MY,2024-12-29,low,false
C0045,Kavic Jorelar,VN,2025-09-20,low,false
C0046,Uminek Nevicski,AU,2024-05-19,low,false
C0047,Ralmir Lundraul,VN,2025-09-02,low,false
C0048,Feldan Marosul,KR,2024-02-08,medium,false
