payment_id,booked_at,customer_id,direction,amount_usd,counterparty_name,counterparty_country,channel
P005684,2026-04-01T00:11:00,C0089,in,1050.83,Brannek Hanreyan,AU,card
P005106,2026-04-01T00:16:00,C0163,out,564.64,Nisnek Nevicul,SG,cash
P000902,2026-04-01T00:34:00,C0133,out,458.26,Umitas Orzekenko,DE,wire
P003314,2026-04-01T00:41:00,C0187,out,910.93,Venek Boskoyan,DE,card
P005239,2026-04-01T00:42:00,C0309,out,294.36,Katas Lundraenko,FR,wire
P002123,2026-04-01T01:13:00,C0167,in,171.26,Umimir Pravinov,JP,wire
P001504,2026-04-01T01:26:00,C0346,in,3478.94,Karen Enkoski,SG,card
P005006,2026-04-01T01:29:00,C0018,in,1432.97,Kadan Davrees,AU,wire
P009426,2026-04-01T01:36:00,C0005,out,3341.44,Mormir Hanreov,AU,wire
P010292,2026-04-01T01:54:00,C0304,out,1989.90,Grevlo Ivaskenko,MY,wire
P010976,2026-04-01T02:21:00,C0323,in,1798.44,Ostdan Hanreenko,FR,wire
P006567,2026-04-01T02:28:00,C0232,out,765.89,Branren Lundrayan,SG,cash
P010110,2026-04-01T02:40:00,C0078,in,5606.08,Velo Farelski,FR,card
P004726,2026-04-01T02:44:00,C0282,in,444.59,Nisriel Cernaski,JP,wire
P003961,2026-04-01T02:50:00,C0252,out,4040.96,Veren Marosar,DE,wire
P000782,2026-04-01T02:54:00,C0145,out,2201.84,Sevlo Aldreenko,SG,card
P006909,2026-04-01T03:01:00,C0177,out,1077.70,Grevdan Hanreov,MY,wire
P003645,2026-04-01T03:05:00,C0355,out,951.70,Zarvic Boskoyan,KR,wire
P009948,2026-04-01T03:15:00,C0386,in,215.02,Henmir Krevoes,KR,card
P010638,2026-04-01T04:04:00,C0133,in,5664.08,Brandan Pravinul,DE,wire
P006899,2026-04-01T04:09:00,C0208,in,388.14,Grevmir Farelar,GB,card
P006298,2026-04-01T04:11:00,C0013,in,3222.26,Sevlo Cernaitz,SG,wire
P009898,2026-04-01T04:36:00,C0125,out,3049.94,Vevic Lundraitz,FR,wire
P001423,2026-04-01T04:38:00,C0260,out,1259.56,Dorlo Enkoski,JP,wire
P011553,2026-04-01T05:05:00,C0211,out,1106.66,Grevriel Krevoenko,FR,wire
P009806,2026-04-01T05:07:00,C0217,in,914.75,Ilylo Enkoenko,DE,card
P011728,2026-04-01T05:08:00,C0022,in,14486.08,Grevriel Lundraitz,VN,wire
P009120,2026-04-01T05:35:00,C0166,in,736.39,Branren Nevicyan,GB,wire
P007176,2026-04-01T05:36:00,C0121,in,3334.52,Grevlo Farelitz,KR,wire
